cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
0,0,10000.0,0.0,9989.58334,0.9989583339999999,1.15,1.15,10000.0,0.6000000000000001,0.4,0.8,2.5,10.0,0.8324912424527843,0.08866762992560524,1000,300,43.0,43.247,0,0,8324.912424527849,8.39002658762029,0.0,0.0,0,0.0,0.0,0,9989.58334,0.0,0.0,0.0,0.0
1,0,10000.0,0.0,9979.177530680556,0.997190235451677,1.2999999999999998,1.2998597805440824,10007.295675293582,0.6000000000000001,0.4,0.8,2.5,10.0,0.8324912424527843,0.08866762992560524,1000,300,43.0,43.247,0,0,8324.912424527849,8.39002658762029,0.0,0.0,0,0.0,0.0016780053175240583,0,9979.177530680556,0.0,0.0,0.0,0.0
2,0,9997.5,0.0,9971.279956573882,0.9957588728230259,1.4499999999999997,1.4498597805440823,10013.749541899444,0.6003998499624907,0.4001000250062516,0.8002000500125032,2.5,9.9975,0.8323314958020308,0.08874659984401079,1000,300,43.0,43.21,1,1,8324.912424527849,8.39002658762029,0.0,0.0,0,0.0,0.0016767819918290072,0,9968.782560738882,0.0,0.0,0.0,2.497395835
3,0,9997.5,0.0,9960.893213266638,0.9943952926623402,1.5999999999999996,1.5998597805440822,10017.035767132285,0.6003998499624907,0.4001000250062516,0.8002000500125032,2.5,9.9975,0.8323314958020308,0.08874659984401079,1000,300,43.0,43.21,0,0,8323.314958020313,8.39002658762029,0.0,0.0,0,0.0,0.0016757013049936618,0,9958.398418883968,0.0,0.0,0.0,2.494794382670139
4,0,9997.5,0.0,9950.517289476747,0.9928397283241657,1.7499999999999996,1.749859780544082,10022.279533749548,0.6003998499624907,0.4001000250062516,0.8002000500125032,2.5,9.9975,0.8323314958020308,0.08874659984401079,1000,300,43.0,43.21,0,0,8323.314958020313,8.39002658762029,0.0,0.0,0,0.0,0.001675151568321138,0,9948.025093836563,0.0,0.0,0.0,2.4921956401847205
5,0,9995.0,0.0,9942.649569768888,0.9915803686818305,1.8999999999999995,1.899859780544082,10027.073834656761,0.60079939969985,0.400200100050025,0.80040020010005,2.5,9.995,0.8323181483105604,0.08874721197561088,1000,300,43.0,43.202,1,1,8323.314958020313,8.39002658762029,0.0,0.0,0,0.0,0.0016742751106407034,0,9937.662574329166,0.0,0.0,0.0,4.9869954397209915
6,0,9995.0,0.0,9932.292649762145,0.9903582522416613,2.0,2.0,10028.989638123929,0.60079939969985,0.400200100050025,0.80040020010005,2.5,9.995,0.8323181483105604,0.08874721197561088,1000,300,43.0,43.202,0,0,8323.181483105609,8.39002658762029,0.0,0.0,0,0.0,0.0016734745801156238,0,9927.310849106016,0.0,0.0,0.0,4.981800656129279
7,0,9995.0,0.0,9921.946518206838,0.9889129785730413,2.0,2.0,10033.18465141774,0.60079939969985,0.400200100050025,0.80040020010005,2.5,9.995,0.8323181483105604,0.08874721197561088,1000,300,43.0,43.202,0,0,8323.181483105609,8.39002658762029,0.0,0.0,0,0.0,0.0016731549020106017,0,9916.96990692307,0.0,0.0,0.0,4.976611283767011
8,0,9995.0,0.0,9911.611163865002,0.9874699866849999,2.0,2.0,10037.379664711549,0.60079939969985,0.400200100050025,0.80040020010005,2.5,9.995,0.8323181483105604,0.08874721197561088,1000,300,43.0,43.202,0,0,8323.181483105609,8.39002658762029,0.0,0.0,0,0.0,0.0016724553328009842,0,9906.639736548004,0.0,0.0,0.0,4.971427316997494
9,0,9992.746301215715,0.0,9903.783971345383,0.9862779781978033,2.0,2.0,10041.57467800536,0.6011987865558825,0.40029504168882457,0.8005854002575559,2.5,9.992746301215734,0.8324247562414312,0.08873636988556606,1000,300,43.0,43.191,1,1,8323.181483105609,8.39002658762029,0.36945182360142553,0.2463012157342837,0,0.0,0.0016717563483460004,0,9896.320326760193,0.0,0.0,0.0,7.463644585189907
