cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
0,0,23604.171957364317,0.0,23505.489740201152,0.99895834,1.15,1.15,23530.000000001153,0.6002019435613206,0.39881761064930477,0.7980511399079895,1.4453316953316953,5.800976150740553,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,38999.83165076979,52.677889464882156,111.25793604496492,74.17195736330994,0,0.0,0.0,0.0,23505.489740201152,0.0,0.0,0.0,0.0
1,0,23722.369039900856,0.0,23481.005011758374,0.9907375732006433,1.2999999999999998,1.2999999999999998,23700.529430716386,0.5998761047768157,0.3977307487309338,0.7949672102512284,1.4453316953316953,5.830139995060206,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,44086.7662139136,69.54891852551897,177.2956238050024,118.19708253666828,0,0.0,0.0034751752659824124,0.0,23481.005011758374,0.0,0.0,0.0,0.0
2,0,23862.89169056791,0.0,23456.545788077823,0.983194641596318,1.4499999999999997,1.4499999999999997,23857.47927795223,0.5991416643979703,0.3965673970780736,0.7914124703048115,1.4453316953316953,5.8654503724191995,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,49173.70077705758,176.41994758615573,210.78397600042027,140.52265066694687,0,0.0,0.004476377421190782,0.0,23456.545788077823,0.0,0.0,0.0,0.0
3,0,24021.72980735132,0.0,23432.112042592213,0.9701845930324715,1.5999999999999996,1.5999999999999996,24152.220320620938,0.5978806557874408,0.39518107920648593,0.7873588057902734,1.4453316953316953,5.9053434828633184,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,54260.635340201305,233.2909766467926,238.25717517528005,158.83811678352004,0,0.0,0.01057339894939007,0.0,23432.112042592213,0.0,0.0,0.0,0.0
4,0,24198.411179243598,0.0,23407.703748761924,0.9536533076921686,1.7499999999999996,1.7499999999999996,24545.29708013946,0.5961386337325727,0.39362497198667007,0.7827958242312517,1.628021245487631,5.950970296075097,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,59347.56990334513,390.16200570742944,265.0220578383941,176.68137189226277,0,0.0,0.013624033540405906,0.0,23407.703748761924,0.0,0.0,0.0,0.0
5,0,24393.171173438004,0.0,23383.320880074985,0.9276932116673001,1.8999999999999995,1.8999999999999995,25205.87688471841,0.5944378249171522,0.3924486559762912,0.7784385631135488,1.7364575143875285,6.00001227747696,0.8334454924459542,0.09142893731512813,4069,1220,43.0,42.673875645121655,0,0,64434.504466488914,287.03303476806616,292.13999129152484,194.75999419434993,0,0.0,0.02193212452615531,0.0,23383.320880074985,0.0,0.0,0.0,0.0
6,0,24599.666976206892,0.0,23360.6980587631,0.9075494989446246,2.0,2.0,25740.41205017346,0.5916806569698065,0.3903338399329524,0.7730309659551123,1.836558583961055,6.053276445156159,0.8334120880159983,0.09143672684906559,4069,1220,43.0,42.66625706561809,1,1,67825.79417525193,391.61372080849065,312.3483904249151,208.2322602832768,0,0.0,0.01595354279946109,0.0,23358.963410047047,0.0,0.0,0.0,1.7346487160530915
7,0,24810.59368970796,0.0,23336.36415402321,0.8813508277144746,2.0,2.0,26477.951140681675,0.5889255070662667,0.3881848399806935,0.7678244972668617,1.880507488169781,6.105970881900977,0.8334120880159983,0.09143672684906559,4069,1220,43.0,42.66625706561809,0,0,67823.07572274208,251.61372080849068,316.3900702515933,210.9267135010622,0,0.0,0.021170240869359227,0.0,23334.631312221336,0.0,0.0,0.0,1.7328418018715275
8,0,25020.613962157124,0.0,23313.499423089645,0.8644674000440052,2.0,2.0,26968.62764507127,0.586256789067864,0.38609813839874746,0.7630375144394355,1.9250361145296015,6.160038124696407,0.8334093828683603,0.09143882206147527,4069,1219,43.0,42.659375768001965,1,1,67823.07572274208,361.61372080849065,317.19840621692884,211.46560414461925,0,0.0,0.013487517062417104,0.0,23310.324560168647,0.0,0.0,0.0,3.174862920998126
9,0,25237.46756295092,0.0,23289.21468328059,0.8424203137132092,2.0,2.0,27645.59959460936,0.583344907631622,0.38400146436082044,0.7582130654141735,1.964855620211159,6.2150014229915955,0.8334093828683603,0.09143882206147527,4069,1219,43.0,42.659375768001965,0,0,67822.8555778273,284.09606833761836,325.2804011910481,216.85360079403205,0,0.0,0.0186841414550756,0.0,23286.0431274873,0.0,0.0,0.0,3.1715557932878387
